,movie_id,predicted_rating
0,19994,2
1,25166,2
2,12120,3
3,9800,3
4,1090,3
5,18475,2
6,9781,3
7,8009,3
8,3877,3
9,8854,2
10,152599,3
11,68727,3
12,12657,2
13,8265,3
14,34647,3
15,28178,2
16,264656,3
17,18777,3
18,90,3
19,771,3
20,9576,3
21,744,3
22,146,3
23,14,3
24,45269,3
25,9493,3
26,22556,3
27,873,3
28,33196,3
29,205596,3
30,16769,3
31,33217,3
32,132232,3
33,11153,3
34,208134,3
35,1165,3
36,4011,3
37,17202,3
38,65086,2
39,10053,3
40,11870,3
41,11778,3
42,586,3
43,18736,2
44,134411,3
45,287903,3
46,9276,3
47,2142,3
48,11397,3
49,77016,3
50,11478,3
51,266856,3
52,10564,3
53,947,3
54,24150,3
55,228970,3
56,18405,3
57,6961,3
58,11442,3
59,2493,2
60,14047,3
61,64690,3
62,11132,3
63,17127,3
64,1562,3
65,232679,3
66,17880,3
67,14736,3
68,23706,3
69,9100,3
70,116,3
71,1245,3
72,4995,3
73,14012,3
74,12212,3
75,8975,2
76,342521,3
77,45272,3
78,9424,3
79,97367,3
80,254904,3
81,12162,3
82,11495,3
83,64689,3
84,157849,3
85,37003,3
86,12211,2
87,51828,3
88,22798,3
89,7501,3
90,97430,3
91,12257,3
92,14024,3
93,115,3
94,7874,3
95,4911,3
96,1988,2
97,16222,3
98,9557,2
99,8321,3
100,10186,3
101,25704,3
102,133694,3
103,19265,3
104,36047,3
105,8053,3
106,5236,3
107,6552,2
108,1018,3
109,42188,3
110,6687,3
111,8461,3
112,19,3
113,10045,2
114,400,3
115,253450,3
116,16353,3
117,23759,2
118,24206,3
119,10185,3
120,31668,3
121,13501,3
122,172391,3
123,137,3
124,264999,3
125,454,3
126,53457,3
127,33,3
128,1951,3
129,12405,3
130,10998,3
131,114,3
132,2604,3
133,864,3
134,14435,3
135,1931,3
136,691,3
137,9877,3
138,12227,3
139,71688,3
140,8291,3
141,13950,3
142,12158,3
143,11586,3
144,12403,3
145,34563,3
146,10368,3
147,14434,2
148,11470,3
149,24940,3
150,82679,3
151,2013,3
152,1440,3
153,18041,3
154,87729,3
155,44754,3
156,43949,3
157,142,3
158,10712,3
159,243938,3
160,10876,3
161,86838,3
162,613,3
163,1913,3
164,97370,3
165,801,3
166,70829,3
167,54518,3
168,44214,3
169,240,3
170,9816,3
171,10131,3
172,339984,3
173,8859,3
174,11967,3
175,239563,3
176,222899,3
177,4951,2
178,332567,2
179,1954,3
180,22345,2
181,9448,3
182,11186,3
183,136835,3
184,5876,3
185,264660,3
186,492,3
187,238603,3
188,10691,3
189,1251,3
190,5172,3
191,58680,3
192,264644,3
193,11592,3
194,16406,3
195,3682,3
196,107811,3
197,2266,3
198,144340,3
199,28211,3
200,47502,3
201,9950,3
202,84892,3
203,24227,3
204,9672,3
205,157544,3
206,59678,3
207,79777,3
208,158011,3
209,8952,3
210,62204,2
211,13435,3
212,319,3
213,9504,3
214,26688,3
215,6615,3
216,14574,3
217,16,3
218,21612,3
219,36691,3
220,23631,3
221,45324,3
222,12144,3
223,56601,3
224,9552,3
225,578,3
226,2105,2
227,126319,3
228,10136,3
229,67660,3
230,10611,3
231,154,3
232,3049,3
233,860,3
234,9281,3
235,75674,3
236,9762,3
237,184,3
238,13335,3
239,76726,3
240,10269,3
241,36819,3
242,17130,3
243,57214,2
244,11202,3
245,9357,3
246,13812,2
247,9030,2
248,19084,2
249,8386,2
250,1360,3
251,101267,2
252,222935,3
253,10220,3
254,31915,3
255,11601,2
256,205220,2
257,14191,3
258,286565,3
259,129670,3
260,34549,2
261,57157,2
262,1948,2
263,46889,3
264,387,3
265,60599,2
266,227719,3
267,12088,3
268,14799,2
269,7510,3
270,31246,2
271,61752,3
272,10944,3
273,10362,3
274,1255,3
275,179144,3
276,86825,2
277,844,3
278,38448,3
279,327,3
280,21345,3
281,173931,2
282,61984,3
283,50601,3
284,236751,2
285,107,3
286,8913,3
287,927,3
288,11,3
289,291870,3
290,907,3
291,45317,3
292,12094,2
293,10377,3
294,249164,3
295,9942,3
296,1817,3
297,10229,3
298,687,3
299,796,3
300,22804,2
301,10156,3
302,12837,3
303,17708,2
304,13937,2
305,28932,3
306,31909,2
307,167073,3
308,3175,3
309,14369,2
310,16888,2
311,121826,2
312,10646,3
313,12149,3
314,304357,3
315,20009,3
316,1587,3
317,30973,3
318,63020,3
319,86829,3
320,13888,3
321,42345,3
322,11917,2
323,14395,3
324,24137,3
325,62,3
326,601,3
327,13067,2
328,88641,2
329,96399,3
330,489,3
331,214,3
332,10890,3
333,1588,2
334,316727,3
335,10314,2
336,663,2
337,11804,3
338,16781,3
339,11873,3
340,9289,3
341,10414,3
342,1970,2
343,9614,3
344,8922,2
345,1648,2
346,17917,3
347,74534,3
348,19405,3
349,9355,3
350,10999,3
351,321258,2
352,44040,2
353,10426,2
354,280092,3
355,13938,3
356,10163,3
357,12182,3
358,1832,3
359,15301,3
360,10135,3
361,26352,3
362,20616,3
363,9794,3
364,15037,3
365,227,3
366,294272,3
367,11336,3
368,283445,2
369,88036,3
370,22824,2
371,11545,2
372,42684,3
373,268238,3
374,41823,3
375,9362,2
376,9902,3
377,14729,2
378,9455,3
379,103731,3
380,10090,3
381,75900,3
382,9515,2
383,328425,3
384,1542,3
385,10490,3
386,87093,3
387,10029,2
388,11507,3
389,37931,2
390,87818,3
391,88005,3
392,73,3
393,14283,3
394,209403,2
395,7942,2
396,73247,2
397,253331,3
398,9952,3
399,256924,3
